4246066432,2040,49391,4993
312341234,488,20045,2382
6565278429,607,59969,3978
6924597746,1217,92307,3695
8800276088,1910,117779,1661
7761700253,809,96265,710
9975618103,2199,53335,4848
2579969553,1241,46467,5455
1330565518,1423,12994,3285
8536194319,823,108397,1712
3135036855,1648,112420,4525
3126280136,1856,31954,878
4699503250,299,49165,620
6906715452,1756,100632,2898
3899067465,351,22387,1861
6607900043,1155,42283,1511
13412344,282,96400,4035
4124341234,545,43068,1852
534534513,430,42182,1524
3412344,151,38194,3977
123423421,2264,22228,4310
34123,970,58775,3818
412341,1437,12835,1816
4123,1556,105075,4870
